Point ID,Acceleration_0,Acceleration_1,Acceleration_2,Acceleration_Magnitude,Displacement_0,Displacement_1,Displacement_2,Displacement_Magnitude,ExtraDof1,Points_0,Points_1,Points_2,Points_Magnitude,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
65,0,0,0,0,0,0,0,0,458,0.05,0.64,0.05,0.643894,0,0,0,0
66,0,0,0,0,0,0,0,0,461.75,0.05,0.65,0.05,0.653835,0,0,0,0
67,0,0,0,0,0,0,0,0,465.4,0.05,0.66,0.05,0.663777,0,0,0,0
68,0,0,0,0,0,0,0,0,468.95,0.05,0.67,0.05,0.673721,0,0,0,0
69,0,0,0,0,0,0,0,0,472.4,0.05,0.68,0.05,0.683667,0,0,0,0
70,0,0,0,0,0,0,0,0,475.75,0.05,0.69,0.05,0.693614,0,0,0,0
71,0,0,0,0,0,0,0,0,479,0.05,0.7,0.05,0.703562,0,0,0,0
72,0,0,0,0,0,0,0,0,482.15,0.05,0.71,0.05,0.713512,0,0,0,0
73,0,0,0,0,0,0,0,0,485.2,0.05,0.72,0.05,0.723464,0,0,0,0
74,0,0,0,0,0,0,0,0,488.15,0.05,0.73,0.05,0.733417,0,0,0,0
75,0,0,0,0,0,0,0,0,491,0.05,0.74,0.05,0.743371,0,0,0,0
76,0,0,0,0,0,0,0,0,493.75,0.05,0.75,0.05,0.753326,0,0,0,0
77,0,0,0,0,0,0,0,0,496.4,0.05,0.76,0.05,0.763282,0,0,0,0
78,0,0,0,0,0,0,0,0,498.95,0.05,0.77,0.05,0.77324,0,0,0,0
79,0,0,0,0,0,0,0,0,501.4,0.05,0.78,0.05,0.783199,0,0,0,0
80,0,0,0,0,0,0,0,0,503.75,0.05,0.79,0.05,0.793158,0,0,0,0
81,0,0,0,0,0,0,0,0,506,0.05,0.8,0.05,0.803119,0,0,0,0
82,0,0,0,0,0,0,0,0,508.15,0.05,0.81,0.05,0.813081,0,0,0,0
83,0,0,0,0,0,0,0,0,510.2,0.05,0.82,0.05,0.823043,0,0,0,0
84,0,0,0,0,0,0,0,0,512.15,0.05,0.83,0.05,0.833007,0,0,0,0
85,0,0,0,0,0,0,0,0,514,0.05,0.84,0.05,0.842971,0,0,0,0
86,0,0,0,0,0,0,0,0,515.75,0.05,0.85,0.05,0.852936,0,0,0,0
87,0,0,0,0,0,0,0,0,517.4,0.05,0.86,0.05,0.862902,0,0,0,0
88,0,0,0,0,0,0,0,0,518.95,0.05,0.87,0.05,0.872869,0,0,0,0
89,0,0,0,0,0,0,0,0,520.4,0.05,0.88,0.05,0.882836,0,0,0,0
90,0,0,0,0,0,0,0,0,521.75,0.05,0.89,0.05,0.892805,0,0,0,0
91,0,0,0,0,0,0,0,0,523,0.05,0.9,0.05,0.902773,0,0,0,0
92,0,0,0,0,0,0,0,0,524.15,0.05,0.91,0.05,0.912743,0,0,0,0
93,0,0,0,0,0,0,0,0,525.2,0.05,0.92,0.05,0.922713,0,0,0,0
94,0,0,0,0,0,0,0,0,526.15,0.05,0.93,0.05,0.932684,0,0,0,0
95,0,0,0,0,0,0,0,0,527,0.05,0.94,0.05,0.942656,0,0,0,0
96,0,0,0,0,0,0,0,0,527.75,0.05,0.95,0.05,0.952628,0,0,0,0
97,0,0,0,0,0,0,0,0,528.4,0.05,0.96,0.05,0.962601,0,0,0,0
98,0,0,0,0,0,0,0,0,528.95,0.05,0.97,0.05,0.972574,0,0,0,0
99,0,0,0,0,0,0,0,0,529.4,0.05,0.98,0.05,0.982548,0,0,0,0
100,0,0,0,0,0,0,0,0,529.75,0.05,0.99,0.05,0.992522,0,0,0,0
101,0,0,0,0,0,0,0,0,530,0.05,1,0.05,1.0025,0,0,0,0
102,0,0,0,0,0,0,0,0,530.15,0.05,1.01,0.05,1.01247,0,0,0,0
103,0,0,0,0,0,0,0,0,530.2,0.05,1.02,0.05,1.02245,0,0,0,0
104,0,0,0,0,0,0,0,0,530.15,0.05,1.03,0.05,1.03242,0,0,0,0
105,0,0,0,0,0,0,0,0,530,0.05,1.04,0.05,1.0424,0,0,0,0
106,0,0,0,0,0,0,0,0,529.75,0.05,1.05,0.05,1.05238,0,0,0,0
107,0,0,0,0,0,0,0,0,529.4,0.05,1.06,0.05,1.06236,0,0,0,0
108,0,0,0,0,0,0,0,0,528.95,0.05,1.07,0.05,1.07233,0,0,0,0
109,0,0,0,0,0,0,0,0,528.4,0.05,1.08,0.05,1.08231,0,0,0,0
110,0,0,0,0,0,0,0,0,527.75,0.05,1.09,0.05,1.09229,0,0,0,0
111,0,0,0,0,0,0,0,0,527,0.05,1.1,0.05,1.10227,0,0,0,0
112,0,0,0,0,0,0,0,0,526.15,0.05,1.11,0.05,1.11225,0,0,0,0
113,0,0,0,0,0,0,0,0,525.2,0.05,1.12,0.05,1.12223,0,0,0,0
114,0,0,0,0,0,0,0,0,524.15,0.05,1.13,0.05,1.13221,0,0,0,0
115,0,0,0,0,0,0,0,0,523,0.05,1.14,0.05,1.14219,0,0,0,0
116,0,0,0,0,0,0,0,0,521.75,0.05,1.15,0.05,1.15217,0,0,0,0
117,0,0,0,0,0,0,0,0,520.4,0.05,1.16,0.05,1.16215,0,0,0,0
118,0,0,0,0,0,0,0,0,518.95,0.05,1.17,0.05,1.17213,0,0,0,0
119,0,0,0,0,0,0,0,0,517.4,0.05,1.18,0.05,1.18212,0,0,0,0
120,0,0,0,0,0,0,0,0,515.75,0.05,1.19,0.05,1.1921,0,0,0,0
121,0,0,0,0,0,0,0,0,514,0.05,1.2,0.05,1.20208,0,0,0,0
122,0,0,0,0,0,0,0,0,512.15,0.05,1.21,0.05,1.21206,0,0,0,0
123,0,0,0,0,0,0,0,0,510.2,0.05,1.22,0.05,1.22205,0,0,0,0
124,0,0,0,0,0,0,0,0,508.15,0.05,1.23,0.05,1.23203,0,0,0,0
125,0,0,0,0,0,0,0,0,506,0.05,1.24,0.05,1.24201,0,0,0,0
126,0,0,0,0,0,0,0,0,503.75,0.05,1.25,0.05,1.252,0,0,0,0
127,0,0,0,0,0,0,0,0,501.4,0.05,1.26,0.05,1.26198,0,0,0,0
128,0,0,0,0,0,0,0,0,498.95,0.05,1.27,0.05,1.27197,0,0,0,0
129,0,0,0,0,0,0,0,0,496.4,0.05,1.28,0.05,1.28195,0,0,0,0
130,0,0,0,0,0,0,0,0,493.75,0.05,1.29,0.05,1.29194,0,0,0,0
131,0,0,0,0,0,0,0,0,491,0.05,1.3,0.05,1.30192,0,0,0,0
132,0,0,0,0,0,0,0,0,488.15,0.05,1.31,0.05,1.31191,0,0,0,0
133,0,0,0,0,0,0,0,0,485.2,0.05,1.32,0.05,1.32189,0,0,0,0
134,0,0,0,0,0,0,0,0,482.15,0.05,1.33,0.05,1.33188,0,0,0,0
135,0,0,0,0,0,0,0,0,479,0.05,1.34,0.05,1.34186,0,0,0,0
136,0,0,0,0,0,0,0,0,475.75,0.05,1.35,0.05,1.35185,0,0,0,0
137,0,0,0,0,0,0,0,0,472.4,0.05,1.36,0.05,1.36184,0,0,0,0
138,0,0,0,0,0,0,0,0,468.95,0.05,1.37,0.05,1.37182,0,0,0,0
139,0,0,0,0,0,0,0,0,465.4,0.05,1.38,0.05,1.38181,0,0,0,0
140,0,0,0,0,0,0,0,0,461.75,0.05,1.39,0.05,1.3918,0,0,0,0
141,0,0,0,0,0,0,0,0,10,0.05,0,0.05,0.0707107,0,0,0,0
142,0,0,0,0,0,0,0,0,20.15,0.05,0.01,0.05,0.0714143,0,0,0,0
143,0,0,0,0,0,0,0,0,30.2,0.05,0.02,0.05,0.0734847,0,0,0,0
144,0,0,0,0,0,0,0,0,40.15,0.05,0.03,0.05,0.0768115,0,0,0,0
145,0,0,0,0,0,0,0,0,50,0.05,0.04,0.05,0.0812404,0,0,0,0
146,0,0,0,0,0,0,0,0,59.75,0.05,0.05,0.05,0.0866025,0,0,0,0
147,0,0,0,0,0,0,0,0,69.4,0.05,0.06,0.05,0.0927362,0,0,0,0
148,0,0,0,0,0,0,0,0,78.95,0.05,0.07,0.05,0.0994987,0,0,0,0
149,0,0,0,0,0,0,0,0,88.4,0.05,0.08,0.05,0.106771,0,0,0,0
150,0,0,0,0,0,0,0,0,97.75,0.05,0.09,0.05,0.114455,0,0,0,0
151,0,0,0,0,0,0,0,0,107,0.05,0.1,0.05,0.122474,0,0,0,0
152,0,0,0,0,0,0,0,0,116.15,0.05,0.11,0.05,0.130767,0,0,0,0
153,0,0,0,0,0,0,0,0,125.2,0.05,0.12,0.05,0.139284,0,0,0,0
154,0,0,0,0,0,0,0,0,134.15,0.05,0.13,0.05,0.147986,0,0,0,0
155,0,0,0,0,0,0,0,0,143,0.05,0.14,0.05,0.156844,0,0,0,0
156,0,0,0,0,0,0,0,0,151.75,0.05,0.15,0.05,0.165831,0,0,0,0
157,0,0,0,0,0,0,0,0,160.4,0.05,0.16,0.05,0.174929,0,0,0,0
158,0,0,0,0,0,0,0,0,168.95,0.05,0.17,0.05,0.18412,0,0,0,0
159,0,0,0,0,0,0,0,0,177.4,0.05,0.18,0.05,0.193391,0,0,0,0
160,0,0,0,0,0,0,0,0,185.75,0.05,0.19,0.05,0.202731,0,0,0,0
161,0,0,0,0,0,0,0,0,194,0.05,0.2,0.05,0.212132,0,0,0,0
162,0,0,0,0,0,0,0,0,202.15,0.05,0.21,0.05,0.221585,0,0,0,0
163,0,0,0,0,0,0,0,0,210.2,0.05,0.22,0.05,0.231084,0,0,0,0
164,0,0,0,0,0,0,0,0,218.15,0.05,0.23,0.05,0.240624,0,0,0,0
165,0,0,0,0,0,0,0,0,226,0.05,0.24,0.05,0.2502,0,0,0,0
166,0,0,0,0,0,0,0,0,233.75,0.05,0.25,0.05,0.259808,0,0,0,0
167,0,0,0,0,0,0,0,0,241.4,0.05,0.26,0.05,0.269444,0,0,0,0
168,0,0,0,0,0,0,0,0,248.95,0.05,0.27,0.05,0.279106,0,0,0,0
169,0,0,0,0,0,0,0,0,256.4,0.05,0.28,0.05,0.288791,0,0,0,0
170,0,0,0,0,0,0,0,0,263.75,0.05,0.29,0.05,0.298496,0,0,0,0
171,0,0,0,0,0,0,0,0,271,0.05,0.3,0.05,0.308221,0,0,0,0
172,0,0,0,0,0,0,0,0,278.15,0.05,0.31,0.05,0.317962,0,0,0,0
173,0,0,0,0,0,0,0,0,285.2,0.05,0.32,0.05,0.327719,0,0,0,0
174,0,0,0,0,0,0,0,0,292.15,0.05,0.33,0.05,0.337491,0,0,0,0
175,0,0,0,0,0,0,0,0,299,0.05,0.34,0.05,0.347275,0,0,0,0
176,0,0,0,0,0,0,0,0,305.75,0.05,0.35,0.05,0.357071,0,0,0,0
177,0,0,0,0,0,0,0,0,312.4,0.05,0.36,0.05,0.366879,0,0,0,0
178,0,0,0,0,0,0,0,0,318.95,0.05,0.37,0.05,0.376696,0,0,0,0
179,0,0,0,0,0,0,0,0,325.4,0.05,0.38,0.05,0.386523,0,0,0,0
180,0,0,0,0,0,0,0,0,331.75,0.05,0.39,0.05,0.396358,0,0,0,0
181,0,0,0,0,0,0,0,0,338,0.05,0.4,0.05,0.406202,0,0,0,0
182,0,0,0,0,0,0,0,0,344.15,0.05,0.41,0.05,0.416053,0,0,0,0
183,0,0,0,0,0,0,0,0,350.2,0.05,0.42,0.05,0.425911,0,0,0,0
184,0,0,0,0,0,0,0,0,356.15,0.05,0.43,0.05,0.435775,0,0,0,0
185,0,0,0,0,0,0,0,0,362,0.05,0.44,0.05,0.445646,0,0,0,0
186,0,0,0,0,0,0,0,0,367.75,0.05,0.45,0.05,0.455522,0,0,0,0
187,0,0,0,0,0,0,0,0,373.4,0.05,0.46,0.05,0.465403,0,0,0,0
188,0,0,0,0,0,0,0,0,378.95,0.05,0.47,0.05,0.475289,0,0,0,0
189,0,0,0,0,0,0,0,0,384.4,0.05,0.48,0.05,0.48518,0,0,0,0
190,0,0,0,0,0,0,0,0,389.75,0.05,0.49,0.05,0.495076,0,0,0,0
191,0,0,0,0,0,0,0,0,395,0.05,0.5,0.05,0.504975,0,0,0,0
192,0,0,0,0,0,0,0,0,400.15,0.05,0.51,0.05,0.514879,0,0,0,0
193,0,0,0,0,0,0,0,0,405.2,0.05,0.52,0.05,0.524786,0,0,0,0
194,0,0,0,0,0,0,0,0,410.15,0.05,0.53,0.05,0.534696,0,0,0,0
195,0,0,0,0,0,0,0,0,415,0.05,0.54,0.05,0.54461,0,0,0,0
196,0,0,0,0,0,0,0,0,419.75,0.05,0.55,0.05,0.554527,0,0,0,0
197,0,0,0,0,0,0,0,0,424.4,0.05,0.56,0.05,0.564447,0,0,0,0
198,0,0,0,0,0,0,0,0,428.95,0.05,0.57,0.05,0.574369,0,0,0,0
199,0,0,0,0,0,0,0,0,433.4,0.05,0.58,0.05,0.584294,0,0,0,0
200,0,0,0,0,0,0,0,0,437.75,0.05,0.59,0.05,0.594222,0,0,0,0
