Point ID,Acceleration_0,Acceleration_1,Acceleration_2,Acceleration_Magnitude,Displacement_0,Displacement_1,Displacement_2,Displacement_Magnitude,ExtraDof1,Points_0,Points_1,Points_2,Points_Magnitude,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,0,0,0,0,0,0,0,0,298.479,0.998607,0.001,0,0.998607,0,0,0,0
1,0,0,0,0,0,0,0,0,298.487,0.951318,0.001,0,0.951318,0,0,0,0
2,0,0,0,0,0,0,0,0,298.479,1,0.001,0,1,0,0,0,0
3,0,0,0,0,0,0,0,0,302.135,0.145383,0.001,0,0.145386,0,0,0,0
4,0,0,0,0,0,0,0,0,302.175,0.1429,0.001,0,0.142904,0,0,0,0
5,0,0,0,0,0,0,0,0,298.508,0.906531,0.001,0,0.906531,0,0,0,0
6,0,0,0,0,0,0,0,0,298.509,0.905578,0.001,0,0.905578,0,0,0,0
7,0,0,0,0,0,0,0,0,302.194,0.141738,0.001,0,0.141741,0,0,0,0
8,0,0,0,0,0,0,0,0,298.51,0.904654,0.001,0,0.904655,0,0,0,0
9,0,0,0,0,0,0,0,0,302.118,0.146469,0.001,0,0.146473,0,0,0,0
10,0,0,0,0,0,0,0,0,301.635,0.180592,0.001,0,0.180595,0,0,0,0
11,0,0,0,0,0,0,0,0,301.647,0.179675,0.001,0,0.179678,0,0,0,0
12,0,0,0,0,0,0,0,0,301.948,0.157679,0.001,0,0.157682,0,0,0,0
13,0,0,0,0,0,0,0,0,301.966,0.15644,0.001,0,0.156443,0,0,0,0
14,0,0,0,0,0,0,0,0,302.83,0.107601,0.001,0,0.107606,0,0,0,0
15,0,0,0,0,0,0,0,0,302.854,0.106486,0.001,0,0.106491,0,0,0,0
16,0,0,0,0,0,0,0,0,301.623,0.18157,0.001,0,0.181573,0,0,0,0
17,0,0,0,0,0,0,0,0,302.793,0.109398,0.001,0,0.109403,0,0,0,0
18,0,0,0,0,0,0,0,0,302.801,0.109013,0.001,0,0.109017,0,0,0,0
19,0,0,0,0,0,0,0,0,302.824,0.1079,0.001,0,0.107904,0,0,0,0
20,0,0,0,0,0,0,0,0,302.247,0.138504,0.001,0,0.138507,0,0,0,0
21,0,0,0,0,0,0,0,0,302.277,0.136714,0.001,0,0.136718,0,0,0,0
22,0,0,0,0,0,0,0,0,299.429,0.487726,0.001,0,0.487727,0,0,0,0
23,0,0,0,0,0,0,0,0,299.516,0.467225,0.001,0,0.467227,0,0,0,0
24,0,0,0,0,0,0,0,0,302.008,0.153568,0.001,0,0.153571,0,0,0,0
25,0,0,0,0,0,0,0,0,301.355,0.204027,0.001,0,0.20403,0,0,0,0
26,0,0,0,0,0,0,0,0,301.415,0.198688,0.001,0,0.19869,0,0,0,0
27,0,0,0,0,0,0,0,0,299.985,0.374486,0.001,0,0.374488,0,0,0,0
28,0,0,0,0,0,0,0,0,300.07,0.360128,0.001,0,0.360129,0,0,0,0
29,0,0,0,0,0,0,0,0,300.262,0.330231,0.001,0,0.330233,0,0,0,0
30,0,0,0,0,0,0,0,0,300.345,0.318155,0.001,0,0.318157,0,0,0,0
31,0,0,0,0,0,0,0,0,300.876,0.251497,0.001,0,0.251499,0,0,0,0
32,0,0,0,0,0,0,0,0,300.948,0.243618,0.001,0,0.24362,0,0,0,0
33,0,0,0,0,0,0,0,0,302.298,0.135501,0.001,0,0.135504,0,0,0,0
34,0,0,0,0,0,0,0,0,298.637,0.781991,0.001,0,0.781992,0,0,0,0
35,0,0,0,0,0,0,0,0,298.639,0.780852,0.001,0,0.780852,0,0,0,0
36,0,0,0,0,0,0,0,0,302.549,0.121526,0.001,0,0.121531,0,0,0,0
37,0,0,0,0,0,0,0,0,302.572,0.120341,0.001,0,0.120345,0,0,0,0
38,0,0,0,0,0,0,0,0,302.375,0.131021,0.001,0,0.131025,0,0,0,0
39,0,0,0,0,0,0,0,0,302.396,0.129822,0.001,0,0.129826,0,0,0,0
40,0,0,0,0,0,0,0,0,302.769,0.110502,0.001,0,0.110506,0,0,0,0
41,0,0,0,0,0,0,0,0,302.227,0.139714,0.001,0,0.139718,0,0,0,0
42,0,0,0,0,0,0,0,0,301.429,0.197527,0.001,0,0.19753,0,0,0,0
43,0,0,0,0,0,0,0,0,302.761,0.110882,0.001,0,0.110886,0,0,0,0
44,0,0,0,0,0,0,0,0,298.699,0.743857,0.001,0,0.743858,0,0,0,0
45,0,0,0,0,0,0,0,0,298.763,0.710106,0.001,0,0.710107,0,0,0,0
46,0,0,0,0,0,0,0,0,302.858,0.106326,0.001,0,0.106331,0,0,0,0
47,0,0,0,0,0,0,0,0,302.689,0.114367,0.001,0,0.114372,0,0,0,0
48,0,0,0,0,0,0,0,0,302.704,0.11366,0.001,0,0.113664,0,0,0,0
49,0,0,0,0,0,0,0,0,299.522,0.466019,0.001,0,0.46602,0,0,0,0
50,0,0,0,0,0,0,0,0,302.613,0.118239,0.001,0,0.118244,0,0,0,0
51,0,0,0,0,0,0,0,0,302.627,0.117471,0.001,0,0.117475,0,0,0,0
52,0,0,0,0,0,0,0,0,302.913,0.103845,0.001,0,0.10385,0,0,0,0
53,0,0,0,0,0,0,0,0,302.913,0.103837,0.001,0,0.103842,0,0,0,0
54,0,0,0,0,0,0,0,0,298.543,0.86121,0.001,0,0.861211,0,0,0,0
55,0,0,0,0,0,0,0,0,298.585,0.821115,0.001,0,0.821115,0,0,0,0
56,0,0,0,0,0,0,0,0,302.53,0.122535,0.001,0,0.122539,0,0,0,0
57,0,0,0,0,0,0,0,0,298.587,0.819935,0.001,0,0.819936,0,0,0,0
58,0,0,0,0,0,0,0,0,298.837,0.675732,0.001,0,0.675732,0,0,0,0
59,0,0,0,0,0,0,0,0,298.91,0.645423,0.001,0,0.645424,0,0,0,0
60,0,0,0,0,0,0,0,0,302.442,0.127276,0.001,0,0.12728,0,0,0,0
61,0,0,0,0,0,0,0,0,302.465,0.126029,0.001,0,0.126033,0,0,0,0
62,0,0,0,0,0,0,0,0,302.349,0.132522,0.001,0,0.132526,0,0,0,0
63,0,0,0,0,0,0,0,0,298.994,0.614454,0.001,0,0.614455,0,0,0,0
64,0,0,0,0,0,0,0,0,299.072,0.587514,0.001,0,0.587515,0,0,0,0
65,0,0,0,0,0,0,0,0,302.884,0.105135,0.001,0,0.10514,0,0,0,0
66,0,0,0,0,0,0,0,0,302.084,0.148664,0.001,0,0.148667,0,0,0,0
67,0,0,0,0,0,0,0,0,298.765,0.70886,0.001,0,0.708861,0,0,0,0
68,0,0,0,0,0,0,0,0,302.651,0.11628,0.001,0,0.116284,0,0,0,0
69,0,0,0,0,0,0,0,0,301.902,0.160872,0.001,0,0.160875,0,0,0,0
70,0,0,0,0,0,0,0,0,302.665,0.115581,0.001,0,0.115585,0,0,0,0
71,0,0,0,0,0,0,0,0,302.915,0.103765,0.001,0,0.10377,0,0,0,0
72,0,0,0,0,0,0,0,0,302.886,0.105057,0.001,0,0.105061,0,0,0,0
73,0,0,0,0,0,0,0,0,302.487,0.124847,0.001,0,0.124851,0,0,0,0
74,0,0,0,0,0,0,0,0,298.835,0.676854,0.001,0,0.676855,0,0,0,0
75,0,0,0,0,0,0,0,0,298.913,0.644213,0.001,0,0.644214,0,0,0,0
76,0,0,0,0,0,0,0,0,302.508,0.123726,0.001,0,0.12373,0,0,0,0
77,0,0,0,0,0,0,0,0,301.71,0.174785,0.001,0,0.174788,0,0,0,0
78,0,0,0,0,0,0,0,0,301.761,0.171014,0.001,0,0.171017,0,0,0,0
79,0,0,0,0,0,0,0,0,299.424,0.48897,0.001,0,0.488971,0,0,0,0
80,0,0,0,0,0,0,0,0,301.502,0.191333,0.001,0,0.191335,0,0,0,0
81,0,0,0,0,0,0,0,0,301.557,0.18677,0.001,0,0.186773,0,0,0,0
82,0,0,0,0,0,0,0,0,298.99,0.615664,0.001,0,0.615665,0,0,0,0
83,0,0,0,0,0,0,0,0,299.162,0.559463,0.001,0,0.559464,0,0,0,0
84,0,0,0,0,0,0,0,0,299.245,0.535311,0.001,0,0.535312,0,0,0,0
85,0,0,0,0,0,0,0,0,301.341,0.205231,0.001,0,0.205234,0,0,0,0
86,0,0,0,0,0,0,0,0,302.328,0.133717,0.001,0,0.133721,0,0,0,0
87,0,0,0,0,0,0,0,0,299.076,0.586297,0.001,0,0.586298,0,0,0,0
88,0,0,0,0,0,0,0,0,300.959,0.24244,0.001,0,0.242442,0,0,0,0
89,0,0,0,0,0,0,0,0,299.158,0.560704,0.001,0,0.560704,0,0,0,0
90,0,0,0,0,0,0,0,0,299.978,0.375636,0.001,0,0.375638,0,0,0,0
91,0,0,0,0,0,0,0,0,299.339,0.510386,0.001,0,0.510387,0,0,0,0
92,0,0,0,0,0,0,0,0,299.708,0.42625,0.001,0,0.426251,0,0,0,0
93,0,0,0,0,0,0,0,0,299.794,0.409197,0.001,0,0.409198,0,0,0,0
94,0,0,0,0,0,0,0,0,300.077,0.358974,0.001,0,0.358975,0,0,0,0
95,0,0,0,0,0,0,0,0,301.278,0.21093,0.001,0,0.210932,0,0,0,0
96,0,0,0,0,0,0,0,0,299.614,0.445642,0.001,0,0.445643,0,0,0,0
97,0,0,0,0,0,0,0,0,299.701,0.427524,0.001,0,0.427525,0,0,0,0
98,0,0,0,0,0,0,0,0,300.254,0.331525,0.001,0,0.331526,0,0,0,0
99,0,0,0,0,0,0,0,0,301.122,0.225825,0.001,0,0.225827,0,0,0,0
100,0,0,0,0,0,0,0,0,301.188,0.219354,0.001,0,0.219356,0,0,0,0
101,0,0,0,0,0,0,0,0,301.487,0.192552,0.001,0,0.192555,0,0,0,0
102,0,0,0,0,0,0,0,0,299.892,0.390798,0.001,0,0.390799,0,0,0,0
103,0,0,0,0,0,0,0,0,300.865,0.25266,0.001,0,0.252662,0,0,0,0
104,0,0,0,0,0,0,0,0,300.17,0.344267,0.001,0,0.344268,0,0,0,0
105,0,0,0,0,0,0,0,0,299.609,0.446791,0.001,0,0.446792,0,0,0,0
106,0,0,0,0,0,0,0,0,301.041,0.233858,0.001,0,0.23386,0,0,0,0
107,0,0,0,0,0,0,0,0,301.109,0.227076,0.001,0,0.227078,0,0,0,0
108,0,0,0,0,0,0,0,0,300.792,0.260999,0.001,0,0.261001,0,0,0,0
109,0,0,0,0,0,0,0,0,300.442,0.304646,0.001,0,0.304647,0,0,0,0
110,0,0,0,0,0,0,0,0,300.523,0.293908,0.001,0,0.29391,0,0,0,0
111,0,0,0,0,0,0,0,0,300.618,0.281721,0.001,0,0.281723,0,0,0,0
112,0,0,0,0,0,0,0,0,300.695,0.272288,0.001,0,0.27229,0,0,0,0
113,0,0,0,0,0,0,0,0,298.697,0.745073,0.001,0,0.745074,0,0,0,0
114,0,0,0,0,0,0,0,0,301.029,0.235101,0.001,0,0.235103,0,0,0,0
115,0,0,0,0,0,0,0,0,302.589,0.11944,0.001,0,0.119444,0,0,0,0
116,0,0,0,0,0,0,0,0,302.421,0.128461,0.001,0,0.128465,0,0,0,0
117,0,0,0,0,0,0,0,0,302.026,0.152412,0.001,0,0.152415,0,0,0,0
118,0,0,0,0,0,0,0,0,302.065,0.149865,0.001,0,0.149868,0,0,0,0
119,0,0,0,0,0,0,0,0,298.542,0.86215,0.001,0,0.862151,0,0,0,0
120,0,0,0,0,0,0,0,0,301.78,0.169586,0.001,0,0.169589,0,0,0,0
121,0,0,0,0,0,0,0,0,302.729,0.112456,0.001,0,0.11246,0,0,0,0
122,0,0,0,0,0,0,0,0,300.354,0.316944,0.001,0,0.316945,0,0,0,0
123,0,0,0,0,0,0,0,0,301.201,0.218139,0.001,0,0.218141,0,0,0,0
124,0,0,0,0,0,0,0,0,301.265,0.212131,0.001,0,0.212133,0,0,0,0
125,0,0,0,0,0,0,0,0,300.705,0.271063,0.001,0,0.271065,0,0,0,0
126,0,0,0,0,0,0,0,0,300.162,0.345446,0.001,0,0.345447,0,0,0,0
127,0,0,0,0,0,0,0,0,300.782,0.26217,0.001,0,0.262172,0,0,0,0
128,0,0,0,0,0,0,0,0,302.737,0.112054,0.001,0,0.112059,0,0,0,0
129,0,0,0,0,0,0,0,0,300.533,0.292683,0.001,0,0.292684,0,0,0,0
130,0,0,0,0,0,0,0,0,299.8,0.407996,0.001,0,0.407997,0,0,0,0
131,0,0,0,0,0,0,0,0,299.25,0.534018,0.001,0,0.534019,0,0,0,0
132,0,0,0,0,0,0,0,0,300.608,0.282922,0.001,0,0.282924,0,0,0,0
133,0,0,0,0,0,0,0,0,301.826,0.166214,0.001,0,0.166217,0,0,0,0
134,0,0,0,0,0,0,0,0,303,0.100004,0.001,0,0.100009,0,0,0,0
135,0,0,0,0,0,0,0,0,303,0.099995,0.001,0,0.1,0,0,0,0
136,0,0,0,0,0,0,0,0,301.696,0.175814,0.001,0,0.175817,0,0,0,0
137,0,0,0,0,0,0,0,0,299.886,0.391976,0.001,0,0.391977,0,0,0,0
138,0,0,0,0,0,0,0,0,301.884,0.162079,0.001,0,0.162082,0,0,0,0
139,0,0,0,0,0,0,0,0,299.334,0.511649,0.001,0,0.51165,0,0,0,0
140,0,0,0,0,0,0,0,0,301.571,0.185661,0.001,0,0.185664,0,0,0,0
