Point ID,Acceleration_0,Acceleration_1,Acceleration_2,Acceleration_Magnitude,Displacement_0,Displacement_1,Displacement_2,Displacement_Magnitude,ExtraDof1,Points_0,Points_1,Points_2,Points_Magnitude,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,0,0,0,0,0,0,0,0,293.001,0.999861,0.0001,0,0.999861,0,0,0,0
1,0,0,0,0,0,0,0,0,293.001,0.951421,0.0001,0,0.951421,0,0,0,0
2,0,0,0,0,0,0,0,0,293.001,1,0.0001,0,1,0,0,0,0
3,0,0,0,0,0,0,0,0,298.326,0.145686,0.0001,0,0.145686,0,0,0,0
4,0,0,0,0,0,0,0,0,298.565,0.142388,0.0001,0,0.142388,0,0,0,0
5,0,0,0,0,0,0,0,0,293.001,0.905545,0.0001,0,0.905545,0,0,0,0
6,0,0,0,0,0,0,0,0,293.001,0.905449,0.0001,0,0.905449,0,0,0,0
7,0,0,0,0,0,0,0,0,298.573,0.142272,0.0001,0,0.142272,0,0,0,0
8,0,0,0,0,0,0,0,0,293.001,0.905357,0.0001,0,0.905357,0,0,0,0
9,0,0,0,0,0,0,0,0,298.319,0.145795,0.0001,0,0.145795,0,0,0,0
10,0,0,0,0,0,0,0,0,296.389,0.180611,0.0001,0,0.180611,0,0,0,0
11,0,0,0,0,0,0,0,0,296.393,0.180519,0.0001,0,0.180519,0,0,0,0
12,0,0,0,0,0,0,0,0,297.583,0.157127,0.0001,0,0.157127,0,0,0,0
13,0,0,0,0,0,0,0,0,297.591,0.157003,0.0001,0,0.157003,0,0,0,0
14,0,0,0,0,0,0,0,0,302.027,0.107131,0.0001,0,0.107131,0,0,0,0
15,0,0,0,0,0,0,0,0,302.042,0.10702,0.0001,0,0.10702,0,0,0,0
16,0,0,0,0,0,0,0,0,296.385,0.180709,0.0001,0,0.180709,0,0,0,0
17,0,0,0,0,0,0,0,0,301.674,0.10994,0.0001,0,0.10994,0,0,0,0
18,0,0,0,0,0,0,0,0,301.847,0.108551,0.0001,0,0.108551,0,0,0,0
19,0,0,0,0,0,0,0,0,301.861,0.10844,0.0001,0,0.10844,0,0,0,0
20,0,0,0,0,0,0,0,0,298.817,0.139059,0.0001,0,0.139059,0,0,0,0
21,0,0,0,0,0,0,0,0,299.049,0.136144,0.0001,0,0.136144,0,0,0,0
22,0,0,0,0,0,0,0,0,293.093,0.488095,0.0001,0,0.488095,0,0,0,0
23,0,0,0,0,0,0,0,0,293.118,0.466698,0.0001,0,0.466698,0,0,0,0
24,0,0,0,0,0,0,0,0,297.829,0.153126,0.0001,0,0.153126,0,0,0,0
25,0,0,0,0,0,0,0,0,295.509,0.20458,0.0001,0,0.20458,0,0,0,0
26,0,0,0,0,0,0,0,0,295.716,0.198191,0.0001,0,0.198191,0,0,0,0
27,0,0,0,0,0,0,0,0,293.333,0.374992,0.0001,0,0.374992,0,0,0,0
28,0,0,0,0,0,0,0,0,293.398,0.359591,0.0001,0,0.359591,0,0,0,0
29,0,0,0,0,0,0,0,0,293.554,0.330848,0.0001,0,0.330848,0,0,0,0
30,0,0,0,0,0,0,0,0,293.646,0.317775,0.0001,0,0.317775,0,0,0,0
31,0,0,0,0,0,0,0,0,294.406,0.251996,0.0001,0,0.251996,0,0,0,0
32,0,0,0,0,0,0,0,0,294.566,0.243096,0.0001,0,0.243096,0,0,0,0
33,0,0,0,0,0,0,0,0,299.059,0.136023,0.0001,0,0.136023,0,0,0,0
34,0,0,0,0,0,0,0,0,293.004,0.781573,0.0001,0,0.781573,0,0,0,0
35,0,0,0,0,0,0,0,0,293.004,0.781459,0.0001,0,0.781459,0,0,0,0
36,0,0,0,0,0,0,0,0,300.434,0.120992,0.0001,0,0.120992,0,0,0,0
37,0,0,0,0,0,0,0,0,300.446,0.120874,0.0001,0,0.120874,0,0,0,0
38,0,0,0,0,0,0,0,0,299.525,0.130529,0.0001,0,0.130529,0,0,0,0
39,0,0,0,0,0,0,0,0,299.536,0.130409,0.0001,0,0.130409,0,0,0,0
40,0,0,0,0,0,0,0,0,301.661,0.11005,0.0001,0,0.11005,0,0,0,0
41,0,0,0,0,0,0,0,0,298.807,0.13918,0.0001,0,0.13918,0,0,0,0
42,0,0,0,0,0,0,0,0,295.72,0.198075,0.0001,0,0.198075,0,0,0,0
